center_id,name,district_name,block_name,pincode,from,to,fee_type,b45,a45
592403,Panihati SGH 1,North 24 Parganas,Panihati Municipality,700110,09:00:00,16:00:00,Free,False,True
559319,TECHNO INDIA DAMA,North 24 Parganas,Bidhannagar Municipal Corporation,700106,09:30:00,18:00:00,Paid,True,True
555133,Session 5 Central Library,North 24 Parganas,Kamarhati Municipality,700058,09:00:00,16:00:00,Free,False,True
611282,Narayana M Hospital,North 24 Parganas,Barasat Municipality,700128,09:30:00,15:30:00,Paid,True,False
721431,Suraksha Diagnostics Sodepur,North 24 Parganas,Panihati Municipality,700110,09:00:00,16:30:00,Paid,True,True
553680,Panihati SGH 2,North 24 Parganas,Panihati Municipality,700110,09:00:00,16:00:00,Free,False,True
595734,S B S Mandir SGH 1,North 24 Parganas,Khardah Mnicipality,700116,09:00:00,16:00:00,Free,False,True
558374,UPHC 4 Shyamnagar,North 24 Parganas,Bhatpara Municipality,743126,09:00:00,16:00:00,Free,False,True
555080,Session 1 Academic Building,North 24 Parganas,Kamarhati Municipality,700058,09:00:00,16:00:00,Free,False,True
592187,Baranagar SGH 1,North 24 Parganas,Baranagar Municipality,700090,09:00:00,16:00:00,Free,False,True
614729,Barasat DH Ex 11,North 24 Parganas,Barasat Municipality,700124,09:00:00,16:00:00,Free,False,True
632469,Naihati Matri Sadan,North 24 Parganas,Naihati Municipality,743165,09:00:00,18:00:00,Free,False,True
595720,Naihati SGH 1,North 24 Parganas,Naihati Municipality,743165,09:00:00,16:00:00,Free,False,True
618127,North Barrackpore UPHC 2,North 24 Parganas,North Barrackpore Municipality,743125,09:00:00,16:00:00,Free,False,True
721238,Suraksha Diagnostics Bhatpara,North 24 Parganas,Bhatpara Municipality,700128,09:00:00,16:30:00,Paid,True,True
721394,Suraksha Diagnostics Dunlop,North 24 Parganas,Baranagar Municipality,700035,09:00:00,16:30:00,Paid,True,True
555092,Session 2 Academic Building,North 24 Parganas,Kamarhati Municipality,700058,09:00:00,16:00:00,Free,False,True
569079,ILS DUMDUM,North 24 Parganas,Dum Dum Municipality,700028,09:00:00,12:00:00,Paid,True,True
592216,Ashoknagar SGH 1,North 24 Parganas,Ashoknagar Kalyangarh Municipality,743222,09:00:00,16:00:00,Free,False,True
592419,Bhatpara SGH 1,North 24 Parganas,Bhatpara Municipality,743125,09:00:00,16:00:00,Free,False,True
614844,Dr BN Bose SDH Ex 11,North 24 Parganas,Barrackpore Municipality,700123,09:00:00,16:00:00,Free,False,True
629734,CMSDH Ss 7 Central Libraray 2,North 24 Parganas,Kamarhati Municipality,700058,12:00:00,18:30:00,Free,False,True
597351,Chowberia PHC COVAXIN,North 24 Parganas,Bongaon,743290,09:00:00,16:00:00,Free,False,True
555105,Session 3 Lecture Theater,North 24 Parganas,Kamarhati Municipality,700058,09:00:00,16:00:00,Free,False,True
716286,Columbia Asia Hosp.,North 24 Parganas,Bidhannagar Municipal Corporation,700106,09:00:00,18:00:00,Paid,False,True
553683,Habra SGH 2,North 24 Parganas,Habra Municipality,743263,09:00:00,16:00:00,Free,False,True
721219,Suraksha Diagnostics Barasat,North 24 Parganas,Barasat Municipality,700124,09:00:00,16:30:00,Paid,True,True
595150,ORD FACTORY HOSP ICHAPUR,North 24 Parganas,North Barrackpore Municipality,743144,09:00:00,16:00:00,Free,False,True
592308,Dr B N Bose SDH 1,North 24 Parganas,Barrackpore Municipality,700123,09:00:00,16:00:00,Free,False,True
546861,Dr BN Bose SDH 2,North 24 Parganas,Barrackpore Municipality,700123,09:00:00,16:00:00,Free,False,True
713096,Apollo Clinic Chinar Park,North 24 Parganas,Bidhannagar Municipal Corporation,700157,10:00:00,14:00:00,Paid,True,True
554109,Reckjoani BPHC,North 24 Parganas,Rajarhat,700135,09:00:00,16:30:00,Free,False,True
618106,Garulia UPHC 1 ESOPD Build,North 24 Parganas,Garulia Municipality,743127,09:00:00,16:00:00,Free,False,True
570336,Ashoknagar SGH 2,North 24 Parganas,Ashoknagar Kalyangarh Municipality,743222,09:00:00,16:00:00,Free,False,True
546513,Khardah UPHC1 Morol Para Hau,North 24 Parganas,Khardah Mnicipality,700117,09:00:00,16:00:00,Free,False,True
546522,Garulia Water Tank Compound,North 24 Parganas,Garulia Municipality,743133,09:00:00,16:00:00,Free,False,True
609728,Chandpur PHC R,North 24 Parganas,Rajarhat,700135,09:00:00,16:30:00,Free,False,True
614707,Barasat DH Ex 1,North 24 Parganas,Barasat Municipality,700124,09:00:00,16:00:00,Free,False,True
550396,Salt Lake SDH Ex 1,North 24 Parganas,Bidhannagar Municipal Corporation,700064,09:00:00,18:00:00,Free,False,True
614819,Salt Lake SDH Ex 11,North 24 Parganas,Bidhannagar Municipal Corporation,700064,09:00:00,18:00:00,Free,True,False
